name,status,ISO,ANSI_letter,ANSI_digit,USPS,USCG,GPO,AP,other,FIPS,
 United States of America,Federal state,US USA 840,US,0,,,U.S.,U.S.,U.S.A.,, 
 Alabama,State,US-AL,AL,1,AL,AL,Ala.,Ala.,,1, 
 Alaska,State,US-AK,AK,2,AK,AK,Alaska,Alaska,Ak.[1],2, 
 Arizona,State,US-AZ,AZ,4,AZ,AZ,Ariz.,Ariz.,,4, 
 Arkansas,State,US-AR,AR,5,AR,AR,Ark.,Ark.,,5, 
 California,State,US-CA,CA,6,CA,CF,Calif.,Calif.,Cal.,6, 
 Colorado,State,US-CO,CO,8,CO,CL,Colo.,Colo.,,8, 
 Connecticut,State,US-CT,CT,9,CT,CT,Conn.,Conn.,,9, 
 Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,,10, 
 District of Columbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Dis. Col.[2],11, 
 Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,,12, 
 Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.[1],13, 
 Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,Hi.[1],15, 
 Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,Ida.[1],16, 
 Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,"Ills., Ill's",17, 
 Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,,18, 
 Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,Ioa.[a],19, 
 Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,Ka.,20, 
 Kentucky,State,US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent.[b]",21, 
 Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,,22, 
 Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,,23, 
 Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,"Mar., Mary.",24, 
 Massachusetts,State,US-MA,MA,25,MA,MS,Mass.,Mass.,,25, 
 Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,,26, 
 Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,,27, 
 Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,,28, 
 Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,,29, 
 Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,,30, 
 Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,,31, 
 Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,,32, 
 New Hampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,,33, 
 New Jersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N. Jersey[2],34, 
 New Mexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,"New M., New Mex.",35, 
 New York,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York[2],36, 
 North Carolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.,37, 
 North Dakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,,38, 
 Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,Oh.[1],39, 
 Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,,40, 
 Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,,41, 
 Pennsylvania,State,US-PA,PA,42,PA,PA,Pa.,Pa.,Penn.[1],42, 
 Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.,R.I. & P.P.,44, 
 South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.,45, 
 South Dakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak,46, 
 Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,,47, 
 Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,,48, 
 Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.[1],49, 
 Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,Verm.[3],50, 
 Virginia,State,US-VA,VA,51,VA,VA,Va.,Va.,Virg.,51, 
 Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,Wn.[4],53, 
 West Virginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg.",54, 
 Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,Wisc.,55, 
 Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,,56, 
 American Samoa,Insular area (Territory),"AS
ASM
016
US-AS",AS,60,AS,AS,A.S.,,,60, 
